genome	kingdom	phylum	class	order	family	genus	species
630921.SAMN03782074	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	41294 Bradyrhizobiaceae	374 Bradyrhizobium	specI_v3_01691
631.SAMN03160554	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	91347 Enterobacterales	1903411 Yersiniaceae	629 Yersinia	specI_v3_01089
631362.SAMN02261404	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	135613 Chromatiales	1046 Chromatiaceae	61593 Thiorhodovibrio	specI_v3_11634
631454.SAMN02469419	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	356 Rhizobiales	119043 Rhodobiaceae	1358438 Lutibaculum	specI_v3_11635
63186.SAMEA3315864	2 Bacteria	976 Bacteroidetes	117743 Flavobacteriia	200644 Flavobacteriales	49546 Flavobacteriaceae	112040 Zobellia	specI_v3_04431
632292.SAMN00713562	2 Bacteria	1239 Firmicutes	186801 Clostridia	68295 Thermoanaerobacterales	543371 Thermoanaerobacterales Family III. Incertae Sedis	44000 Caldicellulosiruptor	specI_v3_02169
632335.SAMN00713564	2 Bacteria	1239 Firmicutes	186801 Clostridia	68295 Thermoanaerobacterales	543371 Thermoanaerobacterales Family III. Incertae Sedis	44000 Caldicellulosiruptor	specI_v3_02168
632518.SAMN00713561	2 Bacteria	1239 Firmicutes	186801 Clostridia	68295 Thermoanaerobacterales	543371 Thermoanaerobacterales Family III. Incertae Sedis	44000 Caldicellulosiruptor	specI_v3_02166
632772.SAMD00060964	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85007 Corynebacteriales	85025 Nocardiaceae	1827 Rhodococcus	specI_v3_00886
632773.SAMN04011598	2 Bacteria	1239 Firmicutes	91061 Bacilli	1385 Bacillales	186817 Bacillaceae	1386 Bacillus	specI_v3_11636
632955.SAMD00019984	2 Bacteria	1224 Proteobacteria	1236 Gammaproteobacteria	72274 Pseudomonadales	468 Moraxellaceae	469 Acinetobacter	specI_v3_06290
633131.SAMN02436219	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204455 Rhodobacterales	31989 Rhodobacteraceae	633130 Thalassobium	specI_v3_11637
633147.SAMN00016989	2 Bacteria	201174 Actinobacteria	84998 Coriobacteriia	84999 Coriobacteriales	1643824 Atopobiaceae	133925 Olsenella	specI_v3_02951
633148.SAMN02598509	2157 Archaea	28889 Crenarchaeota	183924 Thermoprotei	114380 Desulfurococcales	2272 Desulfurococcaceae	54253 Thermosphaera	specI_v3_11638
633149.SAMN00007485	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204458 Caulobacterales	76892 Caulobacteraceae	41275 Brevundimonas	specI_v3_11639
633194.SAMN05421759	2 Bacteria	1224 Proteobacteria	28211 Alphaproteobacteria	204455 Rhodobacterales	31989 Rhodobacteraceae	93682 Roseivivax	specI_v3_11640
633440.SAMN05421869	2 Bacteria	201174 Actinobacteria	1760 Actinobacteria	85012 Streptosporangiales	2004 Streptosporangiaceae	83681 Nonomuraea	specI_v3_02337
